Task,Feature_Set,Use_MEST,Best_Model,Best_AUC,Best_AUC_STD,Best_Brier,XGB_AUC,SVM_AUC
ShortTerm,Renal=GFR_BP=MAP,False,XGB,0.6913390456989248,0.07144311104068941,0.22199804455961103,0.6913390456989248,0.538793682795699
ShortTerm,Renal=GFR_BP=MAP,True,XGB,0.6905493951612904,0.03578731178182776,0.22323897989506386,0.6905493951612904,0.5219590053763441
ShortTerm,Renal=GFR_BP=SBP+DBP,False,XGB,0.6872143817204301,0.04874290911323,0.229678895650625,0.6872143817204301,0.501974126344086
ShortTerm,Renal=GFR_BP=SBP+DBP,True,XGB,0.6845262096774194,0.026769356792946848,0.22247472441921762,0.6845262096774194,0.34007056451612905
ShortTerm,Renal=Scr_BP=MAP,False,XGB,0.6849966397849462,0.07555704134286913,0.22467016562651948,0.6849966397849462,0.3872227822580646
ShortTerm,Renal=Scr_BP=MAP,True,XGB,0.6864835349462366,0.06708104877234636,0.22476102817165175,0.6864835349462366,0.4321992607526882
ShortTerm,Renal=Scr_BP=SBP+DBP,False,XGB,0.6564264112903225,0.07070552627134587,0.23113580342378878,0.6564264112903225,0.4348370295698925
ShortTerm,Renal=Scr_BP=SBP+DBP,True,XGB,0.6707577284946237,0.05933359615783589,0.22753820275215522,0.6707577284946237,0.3551159274193548
LongTerm,Renal=GFR_BP=MAP,False,SVM,0.6809998100748013,0.05516910726573401,0.22705091741251002,0.6639215170640487,0.6809998100748013
LongTerm,Renal=GFR_BP=MAP,True,SVM,0.6821068548387096,0.06247818528091684,0.2238219531822902,0.6728348527349228,0.6821068548387096
LongTerm,Renal=GFR_BP=SBP+DBP,False,SVM,0.6799972241701729,0.05656486800632283,0.2243424081878757,0.6547251197989715,0.6799972241701729
LongTerm,Renal=GFR_BP=SBP+DBP,True,XGB,0.6743542543244507,0.07608712800517164,0.23441635840546665,0.6743542543244507,0.4378747370266479
LongTerm,Renal=Scr_BP=MAP,False,SVM,0.6846996990416082,0.0574023704161112,0.22745913415330737,0.6681816853669938,0.6846996990416082
LongTerm,Renal=Scr_BP=MAP,True,SVM,0.6861108067438055,0.06432930116017678,0.22206844628900005,0.6855339089527817,0.6861108067438055
LongTerm,Renal=Scr_BP=SBP+DBP,False,SVM,0.6848023316970547,0.056981887901855086,0.2258091890790555,0.6602928500467509,0.6848023316970547
LongTerm,Renal=Scr_BP=SBP+DBP,True,SVM,0.6837102618045815,0.06432898458045229,0.22459822707438656,0.6755694103553062,0.6837102618045815
