Feature,Importance
血尿（RBC）_missing,0.05986503
肉眼血尿_missing,0.05580089
血尿（RBC）,0.04513898
前驱感染_missing,0.044446744
baseline UTP,0.044241928
E,0.042989306
M,0.04228513
肉眼血尿,0.042162642
UTP_x_S,0.038428526
age,0.03788123
C3,0.037473068
IgA,0.03704358
尿酸,0.036479544
MAP,0.035937782
T,0.035739217
前驱感染,0.03498843
Alb,0.034934156
RASB,0.03442154
Hb,0.034095798
IgA_C3_ratio,0.03382478
baseline GFR,0.03211889
C,0.030688887
S,0.030117914
C3_missing,0.028212463
gender_2,0.02819488
Hb_missing,0.022261439
IgA_missing,0.020227201
